Review,Product,Rating,Username,Date
"Kecewa banget. Saya pesan yang free pouch tapi dikirimnya cotton pad. Kaget pas unboxing (untung di videokan), segera kabarin customer servicenya dan disuruh isi googleform untuk dikirimkan ulang pouchnya. Setelah 4 hari nggak ada kabar akhirnya saya tanya lagi, dan hanya dikabari kalau stock pouch ternyata sudah habis. Padahal baik-baik dan sabar ikutin prosedur dari customer service, karena masih berpikiran positif. Ternyata begini caranya ya.",Perfect Light Skin Protection (BLPXAVOSKIN MTS Light 30gr + PHTE 30ml),bintang 1,A***a,Lebih dari 1 tahun lalu
"Kali ini pengemasan tidak safe,, sepertinya tutup botol tidak kencang,, sehingga toner merembes keluar sampai dus basah,, saya memang tidak membuat video unboxing karna saya selalu mendapat produk dan packaging yg bagus dari avoskin.. saya kira dus basah karna hujan.. pas dibuka ternyata botol sudah kosong.. semoga mendapat tanggapan dari avoskin..",Avoskin Hydrating Treatment Essence,bintang 1,Joshua,Lebih dari 1 tahun lalu
"paket datangnya barang sudah pecah dan sy return ke seller. sudah ikuti komplain proses dan lain sebagainya.. tapi malah akhirnya tiba2 seakan - akan pesanan selesai, sy terima barang dan uangnya dilepas ke seller. sy kecewa sekali dan jd agak trauma untuk beli barang ksini. 
chat seller untuk nanyain brg ud diterima, tp dijawab   formalitas saja.. baru kali ini sy belanja, brg tidak diterima tp uang tidak kembali.. mungkin uangnya ga seberapa, cuman krn responsnya yg mengecewakan 😅 
mohon improvement untuk selanjutnya.. thx.",Avoskin Hydrating Treatment Essence,bintang 1,Fransisca,Lebih dari 1 tahun lalu
"ga ada sabun nya, ga sesuai deskripsi",Avoskin Perfect Hydrating Treatment Essence 100ml,bintang 1,A***y,Lebih dari 1 tahun lalu
ga sesuai harapan,Avoskin Miraculous Retinol Series,bintang 1,D***a,Lebih dari 1 tahun lalu
nyesal beli disini,Avoskin Basic Kit,bintang 1,D***a,Lebih dari 1 tahun lalu
ga jelas,Avoskin Perfect Hydrating Treatment Essence 100ml,bintang 1,D***a,Lebih dari 1 tahun lalu
kalau ga da free ny di infokan lagi jangan asal acc aja,BLPXAvoskin Multipurpose Tinted Sunscreen 30 gr - Beige,bintang 1,D***a,Lebih dari 1 tahun lalu
"yang sebelumnya ada bekas jerawat malah jadi muncul. Di bagian yang ga pernah jerawat malah jadi jerawatan, terus muncul bruntusan di beberapa bagian ",Avoskin Ultra Brightening Cream,bintang 1,A***n,Lebih dari 1 tahun lalu
Cukup kecewa,Avoskin Miraculous Refining Toner 100ml,bintang 1,A***n,Lebih dari 1 tahun lalu
"Pesen yang special edition, dikirim yang biasa :(",Avoskin Perfect Hydrating Treatment Essence 100ml Special Edition,bintang 1,R***a,Lebih dari 1 tahun lalu
Pesen retinol dikirim refining :(,Avoskin Miraculous Retinol Series,bintang 1,R***a,Lebih dari 1 tahun lalu
Barang ga kekirim. Respon admin kurang memuaskan mohon maaf,Avoskin Hydrating Treatment Essence,bintang 1,N***l,Lebih dari 1 tahun lalu
iritasi,Avoskin AHA-BHA-PHA Sheet Mask - 5 pcs,bintang 1,F***i,Lebih dari 1 tahun lalu
"ternyata berat hanya 10 gr , sama kemasan 20 gr",Avoskin Ultra Brightening Cream,bintang 1,Nina,Lebih dari 1 tahun lalu
"mini banget,,,ini mah cepat habis kecewa berat",Avoskin The Great Shield Sunscreen 5ml,bintang 1,M***d,Lebih dari 1 tahun lalu
I,Avoskin The Great Shield Sunscreen 5ml,bintang 1,M***n,Lebih dari 1 tahun lalu
ga ada isinya,Avoskin The Great Shield Sunscreen 5ml,bintang 1,Soffy,Lebih dari 1 tahun lalu
"Hadiahnya ga dikirim-kirim sudah nunggu 2 bulan chat penjual dibilanh over load, ini sudah mau 3 bulan, sangat mengecewakam pembeli, percuma chat cs jawabannya sama diulang-ulang",Avoskin Glowing Kit Full Size 100ml,bintang 1,Putri,Lebih dari 1 tahun lalu
"sedih banget, ini entah ekspektasi ku ketinggian atau gimana. Isinya bahkan untuk sekali pakai 2 ruas jari pun ndak cukup, ditekan isinya angin semua. Serius memang segini atau gmna? Padahal sebelumnya beli di official serum dll ok ok aja isinya penuh. 


udah seneng packagingnya bagus, tebel.

Tapi kalau memang isinya cuma segini, macam sekali pakai dengan harga diatas 50k. ok, sangat tidak rekomen.

Saya jarang banget isi review panjang kali lebar apalagi semengecewakan ini.",Avoskin The Great Shield Sunscreen 5ml,bintang 1,fenofa,Lebih dari 1 tahun lalu
Yang rela beli tengah malam malah ga dapat gift dan harganya lebih mahal. Sistem online shop paling buruk! Pantas dapat bintang 1!,Avoskin Miraculous Refining Series Lilac Edition,bintang 1,J***e,Lebih dari 1 tahun lalu
Pake ekspedisi yang bener...,Avoskin Hydrating Treatment Essence,bintang 1,Nastiti,Lebih dari 1 tahun lalu
tidak ada keterangan detil mengenai ukuran berat isi produk. tidak tertulis di deskripsinya bahwa isinya hanya 10 g. bahkan di foto produk juga tidak menampilkan keterangan berat dari isi produk.,Avoskin Ultra Brightening Cream,bintang 1,D***y,Lebih dari 1 tahun lalu
System free gift disini tidak transparan dan sangat membingungkan. Itulah yang mengecewakan dan layak untuk dpt bintang 1.,Avoskin Perfect Hydrating Treatment Essence 100ml Lilac Edition,bintang 1,W***n,Lebih dari 1 tahun lalu
Hadiah nya tidak ada,Avoskin Miraculous Refining Series Lilac Edition,bintang 1,Kania,Lebih dari 1 tahun lalu
System free gift disini tidak transparan dan sangat membingungkan. Itulah yang mengecewakan dan layak untuk dpt bintang 1.,Avoskin Miraculous Refining Series Lilac Edition,bintang 1,W***n,Lebih dari 1 tahun lalu
pelayanan bintang 1,Avoskin Your Skin Bae Alpha Arbutin 3% + Grapeseed,bintang 1,L***o,Lebih dari 1 tahun lalu
Botol terbukA.barang tumpah,Avoskin Hydrating Treatment Essence,bintang 1,A***i,Lebih dari 1 tahun lalu
"Free giftnya smpai skrg blm dikirim2. Beberapa x ditanyakan ke adminny cm jawab nanti dicek nanti dicek.
Kl mmg gk niat kasih, gk usah dicantumkan lain x :)",Avoskin Glowing Kit Full Size 100ml,bintang 1,Jeffri,Lebih dari 1 tahun lalu
hadiah tidak ada,Avoskin Miraculous Refining Series Lilac Edition,bintang 1,Kania,Lebih dari 1 tahun lalu
gadapet gift,Avoskin Perfect Hydrating Treatment Essence 100ml Lilac Edition,bintang 1,Alfinia,Lebih dari 1 tahun lalu
"kecewa banget, ga sesuai dengan promonya, di gambar kedua, toko harusnya kasih Retinol Mask Sheet, tapi di gambar pertama dikasihnya pouch yang kesannya murahan dan tidak berguna sama sekali, komplain di gambar ketiga ga pernah ditanggapi oleh toko yang labelnya “official store”, sebagai official store harusnya sudah ga ada kesalahan dan ketidakbenaran hal-hal sepele seperti ini, di gambar keempat, toko langsung update gambar produk seolah cuci tangan. Dalam hal pengiriman juga lelet banget, giliran nanya-nanya untuk beli produknya gerak cepet banget, giliran komplain boro-boro dibales. Kecewa banget.",Avoskin Miraculous Retinol Series Lilac Edition,bintang 1,I***n,Lebih dari 1 tahun lalu
