Review,Product,Rating,Username,Date
"Pengiriman sangat lama, 3hari setelah order baru dikirim barang nya",C-White Serum,bintang 1,Nocturnal,Lebih dari 1 tahun lalu
Salah kirim barang,C White Night Moisturizer,bintang 1,N***i,Lebih dari 1 tahun lalu
Paket Acne nya tidak lengkap Facial foamnya tidak ada,Paket Intense Acne & repair Series,bintang 1,Faridah,Lebih dari 1 tahun lalu
"Packing tidak baik. Packing luar rusak & sdh terbuka. Saat terima, diterima orang rumah. Dari 5 serum, 3 packing serum rusak penyok2 padahal utk jual lg ",C-White Serum,bintang 1,Yanti,Lebih dari 1 tahun lalu
barang tak pernah sampai kaga amanh lama banget kirain bakl sampe nyatanya gaada,AZARINE EASY WHITE PAKET HEMAT,bintang 1,S***a,Lebih dari 1 tahun lalu
"belanja dari tgl 28/12 , brg nyampe tgl 2/1, padahal transaksi ini buat syarat jd member platinum sampai 31/12, akhirnya gagal gara2 brg ga dikirim kirim😬 semoga org lain tidak dibuat kecewa spt sy😭 akhirnya brg  sy buang ke tong sampah😛😛😛",HAIR SPA ALOE VERA,bintang 1,Susanah,Lebih dari 1 tahun lalu
"Seharusnya product ini ada pelindungnya jadi bisa menandakan ini masih baru atau tidak, tidak ada segel dan plastik sama sekali. Maaf saya kasih bintang satu supaya bisa diperhatikan ya perihal kemasan product 🙏",Azarine Oil Free Brightening Daily Moisturizer,bintang 1,P***i,Lebih dari 1 tahun lalu
barang tidak datang dan tidak dikonfirmasi,COOLING WATER SLEEPING MASK,bintang 1,D***i,Lebih dari 1 tahun lalu
"pesan tgl 30 Mei, konfirmasi tgl 31 bahwa produk akan dikirim sesuai urutan orderan dan akhirnya pengajuan pick up paket tgl 2 Juni (4 jam sebelum batal otomatis). tgl 3 Juni akhirnya paket berhasil dijemput (padahal estimasi produk sampai tgl 1-3 Juni), dan sampai tgl 5 Juni.

mohon untuk pihak toko lebih cepat dalam proses dan pengiriman orderan nya agar meningkatkan kualitas pelayanan, terima kasih",AZARINE EASY WHITE HERBAL MOISTURIZER SERUM 20 ml,bintang 1,A***i,Lebih dari 1 tahun lalu
"Produk sih oke cuman CS-nya kurang banget.
- Proses pengepakan 2 hari itu terlalu lama. Kecuali kalau pihak Azarine mau terbuka kenapa harus 2 hari proses barang doang
- Admin juga lama balesnya, perlu nambah karyawan
- Print tulisan di body belakang produk masih kualitas rendah. Perlu diperbaiki lagi sehingga tidak terlihat murahan
- Sabar aja gak cukup mba/mas/pak/bu/any gender pronouns kalau gak ditunjang sama kualitas CS yang baik",HYDRASHOOTHE SUNSCREEN GEL SPF45+++,bintang 1,Qinthara,Lebih dari 1 tahun lalu
"Pertama pengirimannya lama sekali. Sehari penuh baru diproses, 3 hari baru dikirim jadi sampainya seminggu. Trs pas sampai ternyata yg sun shield nya tdk ada di paketnya. Ternyata barangnya kosong dong, dan admin tdk konfirmasi lgsg dikirim aja tuh pesenannya. Akhirnya hrs ribet lg komplain ke tokopedia dan pengembalian dananya jg ribet soalnya barangnya bundle. Parah pelayanannya dan respon adminnya jg lama banget",Azarine Suncare Package,bintang 1,J***a,Lebih dari 1 tahun lalu
kenapa yg ke 2x belanja packing nya begini ya? kardus ngak di lakban. segel rusak. ,AZARINE EASY WHITE PAKET HEMAT,bintang 1,H***a,Lebih dari 1 tahun lalu
gbs di batalkan,Azarine Magic Colour Lip Serum,bintang 1,chelhoon,Lebih dari 1 tahun lalu
"Udamah pengiriman lama, ujung tempat keluar produknya cacat malah gaada lobangnya. Produk mau keluar darimana coba. Udh nyoba tusuk jarum tp tebel bgt gabisa nembus, pas kepencet malah jadi bocor dari belakang sebel bgt byk produk kebuang sia2. Yaudah deh digunting aja tp udh telanjur bocor di belakangnya. Tekstur abis dipake juga ga ngelembabin malah bikin keset. Yah murah sih.",Azarine C White Eyeluminate Firming Serum 15ml,bintang 1,E***n,Lebih dari 1 tahun lalu
y,HYDRASHOOTHE SUNSCREEN GEL SPF45+++,bintang 1,agung,Lebih dari 1 tahun lalu
expired jul 2022,Azarine Hydrasmooth Exclusive Matte Lip Cream x Christina Brennan - 03,bintang 1,Rusiana,Lebih dari 1 tahun lalu
"Pengiriman sampe 2 Minggu, dan tidak up to update delivery ya",Azarine Flek & Glowing Intense Whitening Package,bintang 1,F***i,Lebih dari 1 tahun lalu
produk ok tapi pengemasan lama bgtttttttttt,Azarine Soothing & Hydrating Aloe Vera Gel With Honey 100 ml,bintang 1,D***i,Lebih dari 1 tahun lalu
produk ok tapi pengemasan lama bgtttttttttt,ACNE GENTLE CLEANSING FOAM,bintang 1,D***i,Lebih dari 1 tahun lalu
"Barang tdk sesuai pesanan, chat tdk direspon. Lamaaa sampainya, tdk ada konfirmasi jml item harusnya 5 atau 6 ini dikirim 3 saja",C White Series Face Package,bintang 1,S***i,Lebih dari 1 tahun lalu
GIMANA SIH PESEN YG PEARL HORIZON SATU TRUS GOATS MILK SATU MALAH YG DATENG DUA2NYA PEARL HORIZON LAIN KALI DI PERBAIKI DONG MIN LEBIH TELITI LAGI SEBELUM PACKING.. KLO KEK GINI NGERUGIIN PEMBELI THANKS!,Goat's Milk Papaya Whitening Body Scrub,bintang 1,ayaaa,Lebih dari 1 tahun lalu
"Sangat kecewa dengan pengirimannya, beli tanggal 11, baru sampe tanggal 18. ",HAIR SPA ALOE VERA,bintang 1,C***a,Lebih dari 1 tahun lalu
"paket nyampenya lama, udah gtu segel kerdus nya udah kebuka robek :"")",HYDRASHOOTHE SUNSCREEN GEL SPF45+++,bintang 1,D***i,Lebih dari 1 tahun lalu
selernya lama sekali mengirimkan pesanan ,HYDRASHOOTHE SUNSCREEN GEL SPF45+++,bintang 1,R***i,Lebih dari 1 tahun lalu
"asli si kecewa bgt, pengemasan bener2 lama,bener2 melebihi estimasi. paket nya aja baru dikirim melebihi estimasi sampai. harus nya paket udah sampai dirumah, ini dikirim aja belom. kecewa sih karna chat ke penjual juga ga di tanggepin. packing nya juga kurang rapih ya. dan ini gatau emg isinya segini apa gimana karna pas di buka mau di coba ko isinya ga full. ",HYDRASHOOTHE SUNSCREEN GEL SPF45+++,bintang 1,n***a,Lebih dari 1 tahun lalu
"the product make my acne on point
",HYDRASHOOTHE SUNSCREEN GEL SPF45+++,bintang 1,H***o,Lebih dari 1 tahun lalu
pengemasan sangat amat lama sampai harus dichat BERRRRkali2 tolong diperbaiki lagi deh ,HYDRASHOOTHE SUNSCREEN GEL SPF45+++,bintang 1,naurah,Lebih dari 1 tahun lalu
kapoooooook beli disini menyesaaaaaal,MICELLAR WATER,bintang 1,Resty,Lebih dari 1 tahun lalu
sangat sangat sangat mengecewakan..prosesnya lama padahal satu kota satu minggu baru di proses..kalo dari kurir pengiriman tidak ada masalah karena saya cek resi setelah di ekpedisi proses pengiriman hanya satu hari krn memang satu kota .. dari toko memproses barang nya bener2 lama..mengecewakan ..lebih baik beli ditempat lain yg menjual produk tsb...barangnya datang suda tidak berguna lagi krn saya harus ganti barang pesanan customer saya dengan memesan di tmpat lain...kapoooooook beli disini ,Azarine Acti Acne & Brightening Serum,bintang 1,Resty,Lebih dari 1 tahun lalu
"Kaga ngefek, spt pake air putih aja",AZARINE EASY WHITE HERBAL MOISTURIZER SERUM 20 ml,bintang 1,U***l,Lebih dari 1 tahun lalu
"Saran aja untuk kedepan dikasih Bubble ya, sekelas official store loh",(TWIN PACK) Azarine Hydrasoothe Sunscreen Gel SPF45 PA++++,bintang 1,A***s,Lebih dari 1 tahun lalu
"Tidak suka pelayanan disini, tidak ada empati sama sekali, perlu ditatar ulang attitudenya. Tidak rekomended brand dan toko ini. Tidak perlu repurchase. Barang juga dipacking tidak pakai buble, asal-asalan. Sedang naik daun tapi 0 besar servicenya.",Azarine Revitalizing Anti Aging Serum,bintang 1,Ersa,Lebih dari 1 tahun lalu
"Tidak suka pelayanan disini, tidak ada empati sama sekali, perlu ditatar ulang attitudenya. Tidak rekomended brand dan toko ini. Tidak perlu repurchase. Barang juga dipacking tidak pakai buble, asal-asalan. Sedang naik daun tapi 0 besar servicenya.",Azarine C White Eyeluminate Firming Serum 15ml,bintang 1,Ersa,Lebih dari 1 tahun lalu
ga dikirim yg C-White Serum:(( baru sadar:(,C-White Serum,bintang 1,Putri,Lebih dari 1 tahun lalu
"Order dari tgl 26 Des baru dikirim setelah tg 6
Baru sampe tg 8
Itu juga setelah ditagih 2 dan dikomplain
Dan sellernya juga tidak respon ketika dihubungi 
Sangat tidak Recommended",Azarine Apricot Hair Serum 20ml,bintang 1,N***h,Lebih dari 1 tahun lalu
"Order dari tgl 26 Des baru dikirim setelah tg 6
Baru sampe tg 8
Itu juga setelah ditagih 2 dan dikomplain
Dan sellernya juga tidak respon ketika dihubungi 
Sangat tidak Recommended",HAIR SPA ALOE VERA,bintang 1,N***h,Lebih dari 1 tahun lalu
"Paket x Rachel Goddard
Pertama kali buka udah kayak gini, penyak-penyok, body scrub juga Kayak udah pernah dipake :(

Yang lainnya sih tersegel bener, cuman 2 ini aja body scrub sama lightening serum
Saya jadi gak sreg mau pakeknya ",Azarine C White Complete Series - Face and Body Package,bintang 1,shofwaturrahmah,Lebih dari 1 tahun lalu
"Lama bangeett dikirimnya🥲🥲bahkan hrs sampai ngingetin seller kalo 5 jam lagi pesanan saya dibatalkan otomatis oleh tokped, kecewa💔💔🥲",C White Night Moisturizer,bintang 1,e***a,Lebih dari 1 tahun lalu
"Lama bangeett dikirimnya🥲🥲bahkan hrs sampai ngingetin seller kalo 5 jam lagi pesanan saya dibatalkan otomatis oleh tokped, udah gitu ga lgsg dikirim, huaaa kecewa💔💔",HYDRASHOOTHE SUNSCREEN GEL SPF45+++,bintang 1,e***a,Lebih dari 1 tahun lalu
Rusakkk,Miraclear Herbal Peeling Serum 20ml,bintang 1,Gabriela,Lebih dari 1 tahun lalu
"packing ya parah facial foam ya berantakan..kalo ga dikasih bubble wrap setidak ya tutup facial wash ya diisolasi supaya ga berantakan
",Azarine Refreshing Essence Mist X Rachel Goddard 85 ml,bintang 1,Dwi,Lebih dari 1 tahun lalu
kecewa sekali baru pakai serum acne sekali langsung tumbuh jerawat,Azarine Acti Acne & Brightening Serum,bintang 1,M***l,Lebih dari 1 tahun lalu
pesenan 2 yg dikirim 1,FEMININE WATER RATUS SPRAY,bintang 1,Wita,Lebih dari 1 tahun lalu
"Muka Gue jadi beruntusan dan respon penjual tetap lama,kecewa banget gue",C White Series Face Package,bintang 1,S***a,Lebih dari 1 tahun lalu
"Pengiriman lama, barang tidak tersedia pembeli disuruh nunggu, dibatalin gk boleh. ",C-White Serum,bintang 1,Carlos,Lebih dari 1 tahun lalu
barang tidak sampai,Azarine Fresh Radiant Brightening Scrub 50 gr,bintang 1,O***k,Lebih dari 1 tahun lalu
"Beli yang sunscreen mist , yg dikirim eh yg gel ini. Sudah ajuin complain di tokped, riwayat complain hilang gatau kemana.",[MIST] Azarine Hydrasoothe Sunscreen Mist SPF50 PA++++ 60ml,bintang 1,T***y,Lebih dari 1 tahun lalu
"Pesanan lama datang.,pesan tgl 15 datang tgl 22 padahal dalam 2 kabupaten.",Brightening Facial Cleanser 60 Ml,bintang 1,M***d,Lebih dari 1 tahun lalu
Pengiriman sangat lambat sekali,AZARINE EASY WHITE PAKET HEMAT,bintang 1,C***i,Lebih dari 1 tahun lalu
"belum pakai, terima sudah bocor.
tanya bagaimana, tidak answer juga.",Azarine Aloe Vera Hair Serum 20ml,bintang 1,Cathy,Lebih dari 1 tahun lalu
"toko slow respon, gak teliti sama sekali liat barang. Malas. Kalo ngga langsung liat chat komplain saya, saya bakal jelek jelekin nih toko ke semua sosmed",Paket Intense Acne & repair Series,bintang 1,Ratna,Lebih dari 1 tahun lalu
sy review jujur ya mslh respon penjual kurang sama sekali sy minta bantuan toped 2x baru direspon pengiriman sangat lambat sekali sy order lapak lain dng hr yg sama sdh dtg semua ini mlh msh diproses mslh paket kurang baik hanya kardus seadanya nanti sy video kan lalu kemasan produk terbilang spt asal² an penutup plastiknya tdk rapi sama sekali dus produk tdk rapi lalu botol nya produk terbuat dr plastik ini review dr saya dan sy tdk puas,Trio Serum Collection,bintang 1,W***n,Lebih dari 1 tahun lalu
"Memang pearl horizon seperti ini ya? Tidak sesuai gambar & buluk banget,
Baru sekali ini belanja azarine dpt kualitas brg jlk",Pearl Horizon Whitening Body Lotion 100ML,bintang 1,agung,Lebih dari 1 tahun lalu
"sangat kecewa, limited editionnya hanha cream siang aja..",LIMITED EDITION C WHITE FACE,bintang 1,jiyeon,Lebih dari 1 tahun lalu
"cream siangnya juga ngga cocok, gatal dan beruntusan muka ku perih, sayang bgt baru dipakai 1 kali, masih tersisa banyak nih creamnya...",Azarine Ultralight Hydraglow Day Cream SPF 30 PA+++ C White 25gr,bintang 1,T***i,Lebih dari 1 tahun lalu
"ekspektasi sdh tinggi, sdh dipakai tapi ternyata pas aku coba kulit ku gatal dan beruntusan, diaku ngga cocok seperti nya, sayang bgt nih padahal baru dipakai sekali aja, jadi masih utuh banyak bgt",C White Night Moisturizer,bintang 1,T***i,Lebih dari 1 tahun lalu
"beli 2 blackhead remover mask tapi kenapa yg 
satu nya tinggal setengah & kertas nya pun tinggal dikit juga sangat kecewa saya",Azarine Blackhead Remover Mask 7ml,bintang 1,Tri,Lebih dari 1 tahun lalu
"Parah ngaretnya. Pesan tgl
6. Estimasi datang tanggal 7-9, eh baru sampai tgl 12 sore",HYDRASHOOTHE SUNSCREEN GEL SPF45+++,bintang 1,G***a,Lebih dari 1 tahun lalu
"barang kami terima pecah, sayangnya saya tidak bisa upload video unboxingnya.",Azarine Fresh Radiant Brightening Scrub 50 gr,bintang 1,Ahmad,Lebih dari 1 tahun lalu
sdikit ky dah dpkai,AZARINE EASY WHITE NUTRIFULL NIGHT CREAM 20 ml,bintang 1,A***i,Lebih dari 1 tahun lalu
