Review,Product,Rating,Username,Date
"barang sampai di saya, plastik seal nya udh rusak & hanya dikasi seal tape bening biar tutup gk kebuka.
maaf ya, saya disni beli looo, bayar loo, bukan dapat barang gratisan. tolong lebih diperhatikan quality control nya .",Skin Game Daily Kind Moisturizer,bintang 1,e***a,Lebih dari 1 tahun lalu
"Bau nya ko beda ya, bikin mual, aneh aja ngga kyk biasanya. Padahal aku udh repurchase fash wash skingame dari tahun 2021. Kaget banget sih sumpah",Skin Game Daily Kind Facial Wash,bintang 1,shopi,Lebih dari 1 tahun lalu
No review found,Skin Game Theory of Everything,bintang 1,Rachmat,8 bulan lalu
No review found,Skin Game Acne Warrior,bintang 1,K***n,2024-01-27
Tutup botol mampet,Skin Game Acne Warrior,bintang 1,b***u,Lebih dari 1 tahun lalu
pump macet,Skin Game Daily Kind Moisturizer,bintang 1,Dambu,Lebih dari 1 tahun lalu
Malah jadi breakout pdhl baru sekali pake,Skin Game Acne Combat Serum,bintang 1,Raisha,Lebih dari 1 tahun lalu
"selangnya sependek apa sih sampe dia ilang kebawah???? wtf annoying bgt pakenya gmn coba. udah aku cari tp gak ada selangnya. pake tube ajalah kalo pake packaging kaya gini bermasalah mulu. sayang bgt padahal formulanya sebagus itu, tapi kalo packagingnya begini sihhh big no deh.",Skin Game Kind Watery Moisturizer - Pelembab Wajah (Skin Barrier),bintang 1,Fathiyah,2 bulan lalu
Ini parah banget seller dan pengiriman kurir. UDAH LAMA BANGET KIRIMNYA. Plus waktu sampai dibuka paketnya rusak! Gajelas ini seller tidak professional dan tidak niat jualan sama sekali. Meskipun official store. Tolong hargai customer dengan dapat membungkus paket dengan baik dan benar!!!,Skin Game Kind Watery Moisturizer - Pelembab Wajah (Skin Barrier),bintang 1,Glenn,2024-01-27
"Untuk packaging suka bangettt dan pengeriman juga cepat, cuman sorry bgt kykny memang ga cocok di aku kyk lgsg jerawatan besar” gitu:(",Acne Warrior,bintang 2,d***e,Lebih dari 1 tahun lalu
Warnanya kuning (kiri) padahal baru dibuka. Punya saya sudah pemakaian 6 bulan (kanan) masih bening.,Skin Game Daily Kind Moisturizer 50 ml,bintang 2,A***s,Lebih dari 1 tahun lalu
Bener2 jadi geprek gak pake bubble wrap sama sekali hancur semua:(((,Skin Game Pore Armor,bintang 2,M***a,Lebih dari 1 tahun lalu
bikin bibir sangat kering. mending pake vaselin,Skin Game Dew Me Right Lip Oil 5 gr,bintang 2,L***e,Lebih dari 1 tahun lalu
review singkat... kurang ergonomis dan kurang fungsional... sulit dibersihin...,Pore Armor,bintang 2,Lintang,Lebih dari 1 tahun lalu
