Review,Product,Rating,Username,Date
No review found,Skin Game Kind Watery Moisturizer - Pelembab Wajah (Skin Barrier),bintang 5,Budi,2024-01-27
Ini parah banget seller dan pengiriman kurir. UDAH LAMA BANGET KIRIMNYA. Plus waktu sampai dibuka paketnya rusak! Gajelas ini seller tidak professional dan tidak niat jualan sama sekali. Meskipun official store. Tolong hargai customer dengan dapat membungkus paket dengan baik dan benar!!!,Skin Game Kind Watery Moisturizer - Pelembab Wajah (Skin Barrier),bintang 1,Glenn,2024-01-27
tipe kulitku sensitif,Skin Game Kind Watery Moisturizer - Pelembab Wajah (Skin Barrier),bintang 5,C***h,2024-01-26
baru pertama kali coba. Baca review banyak yang kasih nilai bagus. semoga cocok yaa...,Skin Game Acne Warrior Gel 15 ml - Krim Jerawat,bintang 5,Retno,2024-01-25
"kotaknya penyok. untung pake bubble wrap yg tebal, barang aman deh",Skin Game Travel Bundle,bintang 5,keza,2024-01-23
For the first time mau cobain moisturizer viral ini semoga cocok deh sama bumil iniii hihihi,Skin Game Kind Watery Moisturizer - Pelembab Wajah (Skin Barrier),bintang 5,P***i,2024-01-23
"enak bahannya, lebih cocok daripada formula lama, muka gak benyek bgt",Skin Game Kind Watery Moisturizer - Pelembab Wajah (Skin Barrier),bintang 5,R***i,2024-01-23
Gentle moist dan isinya banyak. Love the new packaging🫶🏻,Skin Game Kind Watery Moisturizer - Pelembab Wajah (Skin Barrier),bintang 5,Ratih,2024-01-23
"Bahannya ringan, lembab dan ukuran cocok untuk dibawa traveling.
thank you seller",Skin Game Kind Watery Moisturizer - Pelembab Wajah (Skin Barrier),bintang 5,u***i,2024-01-23
tipe kulitku berminyak masalah kulitku pori besar tipe kulitku sensitif. Aku cocok pake ini hasilnya melembabkan dan Alhamdulillah sejauh ini di kulit aman.,Skin Game Kind Watery Moisturizer - Pelembab Wajah (Skin Barrier),bintang 5,N***l,2024-01-16
"Agak kecewa sama pelayanan kali ini. Berhari2 nggak dikirim, setelah kita chat kalau mau batalin biar bisa ganti one day shipping karena udah mepet mau dipake travelling, malah besokannya langsung dikirim pakai pengiriman awal yg regular. Alhasil barangnya malah jadi nggak kepake karena telat sampai.",Skin Game Travel Bundle,bintang 5,R***i,2024-01-16
No review found,Skin Game Kind Cream Moisturizer - Pelembab Wajah (Skin Barrier),bintang 5,Kevin,2024-01-16
tipe kulitku berminyak tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar tipe kulitku kombinasi,Skin Game Kind Watery Moisturizer - Pelembab Wajah (Skin Barrier),bintang 5,L***a,2024-01-16
Josssss gandosss……,Skin Game Kind Watery Moisturizer - Pelembab Wajah (Skin Barrier),bintang 5,Anton,2024-01-16
melembapkan. bruntusan ku di dahi hilang pakek ini 😭,Skin Game Kind Watery Moisturizer - Pelembab Wajah (Skin Barrier),bintang 5,r***i,2024-01-09
Cocok banget,Skin Game Hydrate & Moisture (For Dry & Oily Skin),bintang 5,reza,2024-01-09
selalu bagus,Skin Game Kind Watery Moisturizer - Pelembab Wajah (Skin Barrier),bintang 5,farhan,2024-01-09
Packaging rapi dan aman. Thank you seller,Skin Game Kind Watery Moisturizer - Pelembab Wajah (Skin Barrier),bintang 5,Aditya,2024-01-09
Proses dikirimnya lama. Barang so far oke oke saja👍🏽 packingnya super aman,Skin Game Kind Cream Moisturizer - Pelembab Wajah (Skin Barrier),bintang 4,R***A,2024-01-09
Prodak yg dikirim sesuai pesanan.,Skin Game Kind Cream Moisturizer - Pelembab Wajah (Skin Barrier),bintang 5,Y***b,2024-01-02
nice,Skin Game Kind Watery Moisturizer - Pelembab Wajah (Skin Barrier),bintang 5,Dana,2023-12-31
No review found,Skin Game Kind Cream Moisturizer - Pelembab Wajah (Skin Barrier),bintang 3,H***i,2023-12-31
KERENNN,Skin Game Kind Watery Moisturizer - Pelembab Wajah (Skin Barrier),bintang 5,A***o,2023-12-31
No review found,Skin Game Kind Watery Moisturizer - Pelembab Wajah (Skin Barrier),bintang 5,Nurul,2023-12-31
"pengiriman sengaja pakai gosend biar cepat, tapi ternyata ga dikirim2 setelah 2 hari, malah disuruh reorder dengan alasan bakal dapet kompensasi, taunya pas reorder sampenya pun malam bgt, kompensasi yg dijanjikan gada, udh beberapa kali beli baru kali ini kecewa",Skin Game Kind Watery Moisturizer - Pelembab Wajah (Skin Barrier),bintang 3,Firman,2023-12-31
"cepat meresap, ringan di kulit wajah, cuman buat dryskin krg melembabkan. tapi enak buat prep sblm makeup",Skin Game Daily Kind Moisturizer 50 ml,bintang 5,I***y,2023-12-31
Seller sangat cepat memproses barang. Packing sangat baik dan aman. Reliable sangat ..,Skin Game Kind Cream Moisturizer - Pelembab Wajah (Skin Barrier),bintang 5,Hesty,2023-12-31
Cocok di kulit normal,Skin Game Acne Warrior Paste 15 ml - Krim Jerawat,bintang 5,F***i,2023-12-31
"selangnya sependek apa sih sampe dia ilang kebawah???? wtf annoying bgt pakenya gmn coba. udah aku cari tp gak ada selangnya. pake tube ajalah kalo pake packaging kaya gini bermasalah mulu. sayang bgt padahal formulanya sebagus itu, tapi kalo packagingnya begini sihhh big no deh.",Skin Game Kind Watery Moisturizer - Pelembab Wajah (Skin Barrier),bintang 1,Fathiyah,2023-12-31
akhirnya mendarat.pelembab kesayangan,Skin Game Kind Watery Moisturizer - Pelembab Wajah (Skin Barrier),bintang 4,w***e,2023-12-31
"mantap pesanan sesuai dan seller responsif, packing aman banget tebal. Bravo seller!",Skin Game Kind Watery Moisturizer - Pelembab Wajah (Skin Barrier),bintang 5,B***k,2023-12-31
"Packagingnya bisa diperbaiki ya, untungnya barangnya aman, tapi tadi tinggal selipin aja udah keambil barangnya.  Kalau dari produknya, semoga awet dan cocok ya",Skin Game Kind Cream Moisturizer - Pelembab Wajah (Skin Barrier),bintang 4,Zhafira,2023-12-31
waotery ok,Skin Game Kind Watery Moisturizer - Pelembab Wajah (Skin Barrier),bintang 5,Irsyad,2023-12-31
"Ringan! Diaku yg kulitnya kering malah gak cuco.. tumbuh jerawat bergantian.. tp di adik aku (15th) yg kombinasi malah cucooo aman. 👍👍 Wkt itu cekot pas masi packaging lama. Gak lama mereka ganti packaging, harganya lumayan yahh 😆 good deal utk aku 😆👍",Skin Game Daily Kind Moisturizer 50 ml,bintang 5,R***a,2023-12-31
kemasan ok,Skin Game Kind Watery Moisturizer - Pelembab Wajah (Skin Barrier),bintang 5,wahyu,2023-12-31
"Favorite, gampang kempess emang baunya sih yg ganggu tapi worth it",Skin Game Acne Warrior 10 gr,bintang 5,Raihan,2023-12-31
"Kaget banget moisturizernya udah berevolusi sesuai skin type. Udah cocok banget sama moisturizer sebelumnya dan ini pertama kali mau coba yang versi ini, semoga hasilnya bagus juga. terima kasih seller",Skin Game Kind Watery Moisturizer - Pelembab Wajah (Skin Barrier),bintang 5,D***a,2023-12-31
"mantaaaaab
semoga cocok",Acne Advance Bundle (Sensitive & Dry Skin),bintang 5,I***g,2023-12-31
Lagi banyak bekas jerawat semoga cocokkk🫶,Skin Game Hydrate & Moisture (For Dry & Oily Skin),bintang 5,T***i,2023-12-31
Luv ❤️❤️,Skin Game Hydrate & Moisture (For Dry & Oily Skin),bintang 5,R***y,2023-12-31
"Baju barunya cantik banget, keliatan mewah jadinya 😻 Kualitas produknya juga gausa diragukan lagi, bagus banget! Semenjak pake moist dari skin game kulitku jadi better, ini repurchase kedua aku dan keknya bakal repurchase terus wkwk. Packagingnya juga aman banget pake bubble wrap + kardus. Thanks seller! 😻",Skin Game Kind Watery Moisturizer - Pelembab Wajah (Skin Barrier),bintang 5,Salsabila,2023-12-31
"baru semingguan coba dan ternyata enak banget, bikin kulit muka jadi lumayan moist, kebetulan tipe kulitku kombinasi tapi lagi lumayan kering di sekitar dahi dan pipi jadi skingame ini ngebantu banget buat nenangin kulit yang lagi kerontang banget, efek lainnya belum keliatan tapi bikin jerawat jadi cepet mateng juga 👍🏻👍🏻👍🏻 recommended krn bahannya ga macem2 jadi cocok buat yang lagi butuh moisturizer dan perbaikin skin barrier 🫶🏻",Skin Game Kind Watery Moisturizer - Pelembab Wajah (Skin Barrier),bintang 5,C***a,2023-12-31
Mari kita coba! Pelayanannya oke 👍,Skin Game Kind Cream Moisturizer - Pelembab Wajah (Skin Barrier),bintang 5,R***y,2023-12-31
"Barang aman, bubble wrap tebal, kualitas terjaga. Semoga reformulasi ini lebih oke daripada formula sebelumnya",Acne Advance Bundle (Sensitive & Oily Skin),bintang 5,Ravi,2023-12-31
"mnatap, walau agak berbeda dari versi sebelumnya. semoga cocok",Skin Game Kind Cream Moisturizer - Pelembab Wajah (Skin Barrier),bintang 5,Adi,2023-12-31
"Safely arrived, semoga cocok",Skin Game Kind Cream Moisturizer - Pelembab Wajah (Skin Barrier),bintang 5,Karin,2023-12-31
Ringan dan mudah menyerapp🫶🏻👍,Skin Game Kind Watery Moisturizer - Pelembab Wajah (Skin Barrier),bintang 5,Angelia,2023-12-01
"Skintype : oily, acne prone
Pake ini sesuai ringan,, bagus",Skin Game Kind Watery Moisturizer - Pelembab Wajah (Skin Barrier),bintang 5,N***h,2023-12-01
gais aku preloved punyaku klo ada yg mau aku jual murah aja kondisi masih 95% + msih ada box dijual karna ngrsa ga cocok,Skin Game Kind Watery Moisturizer - Pelembab Wajah (Skin Barrier),bintang 5,Deni,2023-12-01
"moisturizer brand apapun yg aku coba, pasti bakal balik kesini😭 and she's back with a new packaging🥰 thank you skin game for being my most holy grail moisturizer. I might try the cream one too soon🤭",Skin Game Kind Watery Moisturizer - Pelembab Wajah (Skin Barrier),bintang 5,Atiyah,2023-12-01
sejauh ini make dari skingame ada sampe sekarang cocok.aku tipe kulit yg sensitif banget ada pie jg pake ini nyaman dipake gk ada efek samping,Skin Game Kind Watery Moisturizer - Pelembab Wajah (Skin Barrier),bintang 5,Nurul,2023-12-01
"belum dicoba semoga cocok, tp 2 tmn aku uda pake ini dan tipe kulit kita hampir sama. semoga cocok juga!",Skin Game Kind Watery Moisturizer - Pelembab Wajah (Skin Barrier),bintang 5,a***i,2023-12-01
"baguss banget packingnyaa, feels secured danaman banget. the product itself is pretty bulky, tapi ga gampang bocorr jd gaperlu khawatirr. aku baru coba bbrp harii, so i couldnt rlly tell u if it works or nott! but overall i rlly like their products!!!💞💞",Skin Game Theory Brightening Essence 100 ml - Essence Mencerahkan,bintang 4,nasywa,2023-12-01
"Jujur agak panik pas liat dusnya penyok. Tapi ternyata isinya aman. Meskipun pas buka dus kemasan, tutup botol moist nya agak kurang rapet, untung isinya masih aman, gak luber kemana - mana.",Eco Friendly Wrap (Pelindung Produk Ramah Lingkungan),bintang 5,A***a,2023-12-01
"Jujur agak panik pas liat dusnya penyok. Tapi ternyata isinya aman. Meskipun pas buka dus kemasan, tutup botol moist nya agak kurang rapet, untung isinya masih aman, gak luber kemana - mana. 
Baru sekali pake produk yang ini, oke banget pas dipake ke kulit. Cocok. Suka sama packing barunya.",Skin Game Kind Cream Moisturizer - Pelembab Wajah (Skin Barrier),bintang 5,A***a,2023-12-01
Cocok di kulit berminyak Kemasannya lucu 😆,Skin Game Acne Warrior Paste 15 ml - Krim Jerawat,bintang 5,dewi,2023-12-01
"bahannya ringan, cepet meresap terus packaging nya ok banget",Skin Game Daily Kind Moisturizer 50 ml,bintang 5,w***a,2023-12-01
Terima kasih banyak paket sudah sampai dengan selamat,Skin Game Kind Watery Moisturizer - Pelembab Wajah (Skin Barrier),bintang 5,T***o,2023-12-01
Barang bagus sesuai packing mantap terima kasih 😊🙏.,Skin Game Hydrate & Moisture (For Dry & Oily Skin),bintang 5,Angel,2023-12-01
Gausah ditanya lagi emang sebagus itu lembab dan bisa bantu pulih skin barier sejauh ini moisturizer yg gak akan ganti2 lagi,Skin Game Kind Watery Moisturizer - Pelembab Wajah (Skin Barrier),bintang 5,E***a,2023-12-01
Produk sangat bangus! langsung menyerap dan membuat lembab!,Skin Game Daily Kind Moisturizer 50 ml,bintang 5,T***a,2023-12-01
Udah repurchase berkali2. Produk simple dan efektif. Packaging jg simple dan aman,Skin Game Kind Watery Moisturizer - Pelembab Wajah (Skin Barrier),bintang 5,Chairunnisa,2023-11-01
"Cocok di kulit saya, tekstur ringan dan sangat cepat menyerap di kulit. Super recommended.",Skin Game Kind Watery Moisturizer - Pelembab Wajah (Skin Barrier),bintang 5,Muhammad,2023-11-01
baru pertama kali beli skin game mudah mudahan cocok,Skin Game Daily Kind Moisturizer 50 ml,bintang 5,A***a,2023-11-01
No review found,Skin Game Spot Guard Serum,bintang 5,A***a,2023-11-01
"Akhirnyaaa menemukan moisturizer yg cocokkk!! Moistnya ringan, dan cepet menyerap. Aku udah make 2tube. 1tube bisa dipake 2bulan lebih. Tergantung pemakaiannya.",Skin Game Kind Watery Moisturizer - Pelembab Wajah (Skin Barrier),bintang 5,Anis,2023-11-01
"baguss, semoga cocok 💗",Skin Game Daily Kind Moisturizer 50 ml,bintang 5,wiwit,2023-11-01
baru mau dicoba semoga cocok,Skin Game Spot Guard Serum,bintang 5,Fatahanisa,2023-11-01
produk ori dan aman. kakak adminnya juga ramah banget. bakal repurchase lagiii deh kayaknya,Skin Game Daily Kind Moisturizer 50 ml,bintang 5,r***m,2023-11-01
"pengiriman dan pengemasan cepat bgt aman produk sesuai , udh pernah coba dan lumayan bikin jerawat cpt mateng. thankyou",Skin Game Acne Warrior,bintang 5,K***a,2023-11-01
