Review,Product,Rating,Username,Date
pengiriman yg sangat lambat. sungguh mengecewakan. jng pakai jasa yg udah merugikan konsumen.,SOMETHINC CATCH THE GLOW Bundle,bintang 1,n***a,Lebih dari 1 tahun lalu
Kecewa bgt pelayanannya krg bisa membantu.. udah kyk chat sama robot 🙈,SOMETHINC 2% BHA Salicylic Acid Liquid Perfector,bintang 1,F***y,Lebih dari 1 tahun lalu
Salah kirim. Harusnya glow maker,SOMETHINC DRY SKIN Kit,bintang 1,D***y,Lebih dari 1 tahun lalu
Pesanan belum diterima dan amsih ajukan komplain kok udah terima pesanan jadi selesai,SOMETHINC Repair Your Skinbarrier,bintang 1,Lisa,Lebih dari 1 tahun lalu
"Malah muncul jerawat pas pake ini sekali,,sebelumnya ga ada 😭😭😭","SOMETHINC AHA 7%, BHA 1%, PHA 3% Weekly Peeling Solution",bintang 1,dioka,Lebih dari 1 tahun lalu
klo beli selalu lama pengiriman nya kenapa ya sama si somethinc ini...?? ada masalahkan sama kalian ..?? ada masalahkah dg packing kalian..? ada masalahkah dg karyawan kalian ...?? saya beli dari jam 6 pagi sampe nya malah 3 hari loh .padahal jarak pengiriman masih di satu kecamatan.. tolong diperbaiki management Somethinc.. untuk ke 3 kalinya saya kasih bintang 1 karena kecewa dg pelayanan kalian.!!!!,SOMETHINC EXCLUSIVE BUNDLE Glowing Skin (HYALuronic LE & 10% Niacin),bintang 1,i***n,Lebih dari 1 tahun lalu
"Saya kasih Bintang 1 itu aja harus nya gak  mau saya kasih bintang.ni pembelian Ke 2 saya. saya sangat KECEWA karena Pengiriman Sangatttttttttt LAMA.RESPON PENJUAL SANGAT LELET, saya pikir pembelian ke2 lebih cepat ternyata sama aja. Management nya perlu Diperbaiki. ditambah semua barang tidak ada yg Free Ongkir. Penjual sangat PELIT/KIKIR .tolong lebih care ke Customer, gimana barang anda mau laku kalo semua nya gak ada yg gratis ongkir.kalah sama brand lain yg udah ngasih pelayanan terbaik.NOTE : Ini pembelian saya terakhir dan tidak mau beli disini lagi. BYE",SOMETHINC EXCLUSIVE BUNDLE Glowing Skin (HYALuronic LE & 10% Niacin),bintang 1,i***n,Lebih dari 1 tahun lalu
"Kecewa bgt sama somethinc, pakai produk ini mukaku keluar beruntusan parah, kulitnya disentuh aja jadi sakit. Trs aku konsultasi ke WA nya, dijawab sekali trus gak pernah dijawab lagi. please d ini muka orang, pelayanannya diperbaiki. jangan cuma bisa jual doank",SOMETHINC Bakuchiol Skinpair Oil Serum 20ml,bintang 1,M***a,Lebih dari 1 tahun lalu
No review found,Somethinc GAME CHANGER Tripeptide Eye Concentrate Gel 20ml,bintang 1,r***n,Lebih dari 1 tahun lalu
Irritated my eyelids. Takes a while to absorb.,Somethinc GAME CHANGER Tripeptide Eye Concentrate Gel 20ml,bintang 1,S***a,Lebih dari 1 tahun lalu
pengiriman lama. bye,SOMETHINC 5% Niacinamide + Moisture Sabi Beet Serum 20ml,bintang 1,ican,Lebih dari 1 tahun lalu
"kecewa bnget, kemasan botol nya pecah, isi serum nya tumpah😩😥
padahal packing rapi,,,
tolong di pastikan sebelum ngirim serum di periksa dulu kemasan nya",SOMETHINC 10% Niacinamide + Moisture Sabi Beet Brightening Serum 40ml,bintang 1,M***H,Lebih dari 1 tahun lalu
"Muka kok malah nambah jerawat ya? Baunya juga menyengat, gk suka",SOMETHINC Low pH Gentle Jelly Cleanser - 15ml [ISI 2],bintang 1,L***a,Lebih dari 1 tahun lalu
"Admin somethinc asal skli, aku pesen serum mata tpi serum matanya tdk termasuk, bisa dilihat di invoice, aku salah asal percaya aja jdi aku terima notifnya barang smpai, aku percaya sekelas somethinc pasti pelayanan prima, skrng tiba tiba stok hbis jdi gimana ini tanggung jawabnya??????.
Sudah aku wanti wanti dng sopan, cek smua pesanan dan dikemas aman, bkin kecewa. ",Somethinc GAME CHANGER Tripeptide Eye Concentrate Gel 20ml,bintang 1,R***a,Lebih dari 1 tahun lalu
beli 3 di ksih 1,Somethinc GAME CHANGER Tripeptide Eye Concentrate Gel 20ml,bintang 1,J***n,Lebih dari 1 tahun lalu
"Botolnya pecah , so disappointed
yg ini paraaaaah !! produknya bocor ",SOMETHINC 10% Niacinamide + Moisture Beet Serum 20ml Limited Edition,bintang 1,Fia,Lebih dari 1 tahun lalu
"ini juga sama botolnya pecah, next time kalo packaging rusak jangan dikasih ke customer dong,,,",SOMETHINC 5% Hyaluronic B5 Ampoule 20ml Limited Edition,bintang 1,Fia,Lebih dari 1 tahun lalu
"Sy gak cocok sama serum yg ini. Setelah bbrp kali pakai tiap malam, wajah jd brutusan dan muncul jerawat kecil.",SOMETHINC Bakuchiol Skinpair Oil Serum 20ml,bintang 1,E***y,Lebih dari 1 tahun lalu
produk lama menyerap d kulit.terasa lengket bgt d pakeny.☹,SOMETHINC ANTI AGING Kit,bintang 1,Mirna,Lebih dari 1 tahun lalu
Ancur!,"SOMETHINC AHA 7%, BHA 1%, PHA 3% Weekly Peeling Solution",bintang 1,N***r,Lebih dari 1 tahun lalu
"edit :
15hr lbh stlh coba, holy grail mulai ada bau asam dan muka jd bruntusan parah. pdhal seblmnya sdh halus stlh pakai sulwha***. mencoba tanya via cs toped tp muterrr aja, smp lelah. sorry somethinc.. sy ga berniat minta ganti rugi atau apa, tp feedback kalian spt ini, jujur sy kecewa. tetap sy repurchase serum lainnya, tp bukan holygrail/salmon dna/ krim sos bakuchiol. blm tau di antara 3 itu yg trigger yg mana. anggep buang sial deh 😢
.
first time nyoba, moga2 cocok ama bundling ini.",Somethinc Age Don't Care Bundle,bintang 1,Olivia,Lebih dari 1 tahun lalu
Kok warnanya beda dengan biasanya ya ? Biasanya agak kuning,SOMETHINC LEVEL 1% RETINOL,bintang 1,R***a,Lebih dari 1 tahun lalu
No review found,SOMETHINC Brow Game Eyebrow Powder Palette,bintang 1,z***q,Lebih dari 1 tahun lalu
No review found,SOMETHINC x SABRINA Immortal Highlighter,bintang 1,Ricky,Lebih dari 1 tahun lalu
Gratisan 2 mini serum tidak dikirimkan,SOMETHINC Dark Spot Reducer Ampoule,bintang 1,Nadia,Lebih dari 1 tahun lalu
Gratisan mini serum tidak dikirimkan,SOMETHINC Revive Potion 3% Arbutin + Bakuchiol,bintang 1,Nadia,Lebih dari 1 tahun lalu
packing,SOMETHINC SKIN SOLVER Korean Glass Skin Kit,bintang 1,S***o,Lebih dari 1 tahun lalu
packing,SOMETHINC SKIN SOLVER Kulit Cerah Bebas Jerawat dan Komedo Kit,bintang 1,S***o,Lebih dari 1 tahun lalu
Packing,SOMETHINC 1% Pure Retinol + Squalane,bintang 1,S***o,Lebih dari 1 tahun lalu
No review found,SOMETHINC NCT DREAM'S Pick - Acne & Pore Combat Kit (Vol. 1),bintang 1,J***r,Lebih dari 1 tahun lalu
"eyeshadow-nya bagus, sayangnya waktu diterima 2 shade pecah",SOMETHINC UNBREAKABLE 25 Pro Eyeshadow Palette,bintang 1,H***n,Lebih dari 1 tahun lalu
No review found,SOMETHINC 5% Niacinamide + Moisture Sabi Beet Serum 20ml,bintang 1,Nurhasanah,Lebih dari 1 tahun lalu
Tolong dong ini official store kok bisa pipetnya gabisanyedot mana beling.. masa harus saya pecahin dulu???? Gimana nih isinya juga - lumayan astagaaa tolong dong 😭😭😭😔,SOMETHINC Rise & Glow Kit (10% Niacinamide Sabi 20 ml + Hyaluronic9+),bintang 1,kifaanggaraini,Lebih dari 1 tahun lalu
